ESTADO ;CIDADE;Letra;;
Bahia;Curaçá;C;;
Bahia;Dário Meira;D;;
Bahia;Dias d'Ávila;D;;
Bahia;Dom Basílio;D;;
Bahia;Dom Macedo Costa;D;;
Bahia;Elísio Medrado;E;;
Bahia;Encruzilhada;E;;
Bahia;Entre Rios;E;;
Bahia;Érico Cardoso;E;;
Bahia;Esplanada;E;;
Bahia;Euclides da Cunha;E;;
Bahia;Eunápolis;E;;
Bahia;Fátima;F;;
Bahia;Feira da Mata;F;;
Bahia;Feira de Santana;F;;
Bahia;Filadélfia;F;;
Bahia;Firmino Alves;F;;
Bahia;Floresta Azul;F;;
Bahia;Formosa do Rio Preto;F;;
Bahia;Gandu;G;;
Bahia;Gavião;G;;
Bahia;Gentio do Ouro;G;;
Bahia;Glória;G;;
Bahia;Gongogi;G;;
Bahia;Governador Mangabeira;G;;
Bahia;Guajeru;G;;
Bahia;Guanambi;G;;
Bahia;Guaratinga;G;;
Bahia;Heliópolis;H;;
Bahia;Iaçu;I;;
Bahia;Ibiassucê;I;;
Bahia;Ibicaraí;I;;
Bahia;Ibicoara;I;;
Bahia;Ibicuí;I;;
Bahia;Ibipeba;I;;
Bahia;Ibipitanga;I;;
Bahia;Ibiquera;I;;
Bahia;Ibirapitanga;I;;
Bahia;Ibirapuã;I;;
Bahia;Ibirataia;I;;
Bahia;Ibitiara;I;;
Bahia;Ibititá;I;;
Bahia;Ibotirama;I;;
Bahia;Ichu;I;;
Bahia;Igaporã;I;;
Bahia;Igrapiúna;I;;
Bahia;Iguaí;I;;
Bahia;Ilhéus;I;;
Bahia;Inhambupe;I;;
Bahia;Ipecaetá;I;;
Bahia;Ipiaú;I;;
Bahia;Ipirá;I;;
Bahia;Ipupiara;I;;
Bahia;Irajuba;I;;
Bahia;Iramaia;I;;
Bahia;Iraquara;I;;
Bahia;Irará;I;;
Bahia;Irecê;I;;
Bahia;Itabela;I;;
Bahia;Itaberaba;I;;
Bahia;Itabuna;I;;
Bahia;Itacaré;I;;
Bahia;Itaetê;I;;
Bahia;Itagi;I;;
Bahia;Itagibá;I;;
Bahia;Itagimirim;I;;
Bahia;Itaguaçu da Bahia;I;;
Bahia;Itaju do Colônia;I;;
